,COCLSACT
901,NEVER USED COCAINE
902,DID NOT USE COCAINE IN THE PAST 12 MOS
903,NEVER USED COCAINE
904,NEVER USED COCAINE
905,NEVER USED COCAINE
906,NEVER USED COCAINE
907,NEVER USED COCAINE
908,NEVER USED COCAINE
909,NEVER USED COCAINE
910,No
911,NEVER USED COCAINE
912,NEVER USED COCAINE
913,No
914,NEVER USED COCAINE
915,NEVER USED COCAINE
916,NEVER USED COCAINE
917,NEVER USED COCAINE
918,NEVER USED COCAINE
919,NEVER USED COCAINE
920,NEVER USED COCAINE
921,NEVER USED COCAINE
922,NEVER USED COCAINE
923,NEVER USED COCAINE
924,DID NOT USE COCAINE IN THE PAST 12 MOS
925,NEVER USED COCAINE
926,NEVER USED COCAINE
927,NEVER USED COCAINE
928,NEVER USED COCAINE
929,NEVER USED COCAINE
930,NEVER USED COCAINE
931,NEVER USED COCAINE
932,NEVER USED COCAINE
933,DID NOT USE COCAINE IN THE PAST 12 MOS
934,NEVER USED COCAINE
935,NEVER USED COCAINE
936,NEVER USED COCAINE
937,NEVER USED COCAINE
